Date,Open,High,Low,Close,Volume
22-Aug-14,3.24,3.35,3.21,3.29,1562577
21-Aug-14,3.12,3.29,3.11,3.29,1744632
20-Aug-14,3.15,3.19,3.11,3.11,978132
19-Aug-14,3.12,3.20,3.11,3.18,1073496
18-Aug-14,3.07,3.16,3.07,3.13,1774380
15-Aug-14,3.08,3.09,2.96,3.03,2583258
14-Aug-14,3.09,3.15,3.04,3.04,2311603
13-Aug-14,3.15,3.17,3.03,3.07,1903085
12-Aug-14,3.20,3.30,3.11,3.15,2553419
11-Aug-14,3.18,3.25,3.14,3.22,3264127
8-Aug-14,3.07,3.17,3.02,3.16,2116622
7-Aug-14,3.09,3.09,3.01,3.06,2743947
6-Aug-14,2.98,3.04,2.94,3.03,2427181
5-Aug-14,2.82,3.00,2.81,2.98,2859625
4-Aug-14,2.85,2.87,2.77,2.83,3225807
1-Aug-14,3.00,3.01,2.81,2.84,3912018
31-Jul-14,2.94,3.03,2.93,2.99,2959816
30-Jul-14,3.06,3.06,2.88,2.97,4581683
29-Jul-14,3.12,3.17,2.99,3.02,3865958
28-Jul-14,3.14,3.17,3.06,3.09,2159104
25-Jul-14,3.24,3.27,3.12,3.13,2911653
24-Jul-14,3.27,3.35,3.22,3.28,2029632
23-Jul-14,3.28,3.38,3.23,3.25,2041436
22-Jul-14,3.38,3.42,3.26,3.28,1554417
21-Jul-14,3.43,3.47,3.35,3.35,972999
18-Jul-14,3.39,3.54,3.37,3.47,5765581
17-Jul-14,3.21,3.44,3.21,3.41,3756034
16-Jul-14,3.40,3.42,3.22,3.23,2576515
15-Jul-14,3.41,3.46,3.34,3.39,3319090
14-Jul-14,3.34,3.42,3.33,3.41,2021201
11-Jul-14,3.29,3.35,3.25,3.30,1422622
10-Jul-14,3.29,3.44,3.28,3.29,2706473
9-Jul-14,3.60,3.63,3.30,3.36,4763003
8-Jul-14,3.60,3.62,3.48,3.59,2488301
7-Jul-14,3.62,3.73,3.60,3.63,2035001
3-Jul-14,3.65,3.73,3.63,3.65,779535
2-Jul-14,3.62,3.70,3.61,3.65,1333608
1-Jul-14,3.61,3.69,3.60,3.64,1725078
30-Jun-14,3.52,3.64,3.51,3.58,1810742
27-Jun-14,3.58,3.60,3.49,3.54,2410702
26-Jun-14,3.53,3.60,3.50,3.58,1682258
25-Jun-14,3.46,3.62,3.45,3.51,3128063
24-Jun-14,3.66,3.71,3.50,3.51,2214302
23-Jun-14,3.74,3.75,3.64,3.67,1904634
20-Jun-14,3.76,3.82,3.70,3.72,2196830
19-Jun-14,3.80,3.90,3.73,3.75,2061002
18-Jun-14,3.90,3.91,3.74,3.80,3205652
17-Jun-14,3.80,3.93,3.70,3.88,2562034
16-Jun-14,3.90,3.94,3.77,3.79,3264191
13-Jun-14,3.88,3.93,3.81,3.91,1507571
12-Jun-14,4.03,4.05,3.82,3.89,4905991
11-Jun-14,4.08,4.32,3.95,4.01,5918963
10-Jun-14,3.92,4.07,3.84,4.07,6205283
9-Jun-14,3.65,3.92,3.58,3.90,8792846
6-Jun-14,3.47,3.86,3.46,3.68,11531831
5-Jun-14,3.46,3.50,3.33,3.35,7495976
4-Jun-14,3.49,3.59,3.28,3.49,11288418
3-Jun-14,3.30,3.85,3.13,3.41,59418126
2-Jun-14,5.82,5.86,5.60,5.79,7330483
30-May-14,6.20,6.22,5.88,5.94,1858892
29-May-14,6.31,6.32,6.09,6.15,1882314
28-May-14,6.37,6.39,6.21,6.30,1356118
27-May-14,6.31,6.56,6.31,6.39,1899109
23-May-14,6.18,6.26,6.17,6.22,872158
22-May-14,5.75,6.29,5.74,6.19,1852999
21-May-14,5.84,5.92,5.58,5.71,4819495
20-May-14,6.05,6.05,5.77,5.83,2014343
19-May-14,6.06,6.12,6.02,6.09,917963
16-May-14,6.08,6.14,6.01,6.08,1024619
15-May-14,6.18,6.22,5.92,6.08,2535118
14-May-14,6.39,6.41,6.20,6.23,1751429
13-May-14,6.59,6.62,6.36,6.40,3307884
12-May-14,6.43,6.66,6.42,6.59,2875893
9-May-14,6.28,6.40,6.23,6.35,2290967
8-May-14,6.51,6.84,6.24,6.34,2717724
7-May-14,6.55,6.57,6.25,6.53,1572166
6-May-14,6.76,6.81,6.56,6.56,1252879
5-May-14,6.57,6.81,6.50,6.78,991081
2-May-14,6.74,6.89,6.62,6.64,1354922
1-May-14,6.39,6.69,6.29,6.68,2368944
30-Apr-14,6.33,6.53,6.28,6.42,1490627
29-Apr-14,6.43,6.44,6.31,6.37,1183805
28-Apr-14,6.44,6.49,6.14,6.34,1699346
25-Apr-14,6.40,6.48,6.33,6.39,934338
24-Apr-14,6.58,6.62,6.32,6.45,1354409
23-Apr-14,6.66,6.67,6.50,6.52,712600
22-Apr-14,6.43,6.73,6.43,6.67,914050
21-Apr-14,6.48,6.55,6.31,6.42,679541
17-Apr-14,6.38,6.61,6.38,6.49,1091121
16-Apr-14,6.44,6.54,6.30,6.42,770862
15-Apr-14,6.35,6.63,6.23,6.37,2611696
14-Apr-14,6.63,6.71,6.21,6.35,2135942
11-Apr-14,6.75,6.82,6.50,6.51,2811725
10-Apr-14,7.02,7.08,6.74,6.77,1624085
9-Apr-14,6.91,7.10,6.85,7.02,1666685
8-Apr-14,6.80,7.03,6.79,6.89,1772486
7-Apr-14,7.23,7.27,6.80,6.82,2261886
4-Apr-14,7.69,7.71,7.16,7.28,1339993
3-Apr-14,7.75,7.81,7.54,7.61,964725
2-Apr-14,7.87,7.98,7.72,7.78,1330421
1-Apr-14,7.51,7.89,7.43,7.87,3044900
31-Mar-14,7.43,7.53,7.11,7.51,2208768
28-Mar-14,7.35,7.49,7.30,7.36,1215587
